commit	val_bpb	memory_gb	status	description
5bebd88	1.933017	13.3	keep	baseline
8614c8d	1.788044	13.3	keep	halve matrix LR to 0.02
9068caa	1.662642	13.3	keep	halve matrix LR to 0.01
75c0117	1.623020	13.3	keep	remove logit cap
6d17bf4	1.610201	13.3	keep	double device batch size to 32
35cfb72	1.569284	13.1	keep	reduce MLP expansion from 4x to 3x
ac8b753	1.554482	13.1	keep	add 5% warmup phase
a80c297	1.553620	13.1	keep	reduce Adam beta1 from 0.8 to 0.7
8102c65	1.522528	13.1	keep	reduce depth from 4 to 3
c7e794c	1.513328	12.6	keep	reduce depth from 3 to 2
